Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1759620328,50,,Aggregated,44.500000,0.000000,29,48,52,55,87,160,320,440,1400,3700,3700,4210,0,29,52.452410150515945,2.185166988056153,3652.9767499887384,3586.633729216152
1759620329,50,,Aggregated,43.500000,0.000000,29,48,52,55,85,160,320,440,1400,3700,3700,4257,0,29,52.15591325572407,2.185166988056153,3652.9767499887384,3607.184167253935
1759620330,50,,Aggregated,45.400000,0.000000,29,48,51,55,84,160,310,440,1400,3700,3700,4305,0,29,51.84974547515937,2.185166988056153,3652.9767499887384,3605.159117305459
1759620331,50,,Aggregated,43.200000,0.000000,29,48,51,55,83,160,310,440,1400,3700,3700,4349,0,29,51.568561685348655,2.185166988056153,3652.9767499887384,3593.3265118418026
1759620332,50,,Aggregated,43.700000,0.000000,29,48,51,55,83,150,310,440,1400,3700,3700,4398,0,29,51.30180721750365,2.185166988056153,3652.9767499887384,3592.5850386539337
1759620333,50,,Aggregated,42.900000,0.000000,28,48,51,54,82,150,310,430,1400,3700,3700,4444,0,28,50.99550281627951,2.185166988056153,3652.9767499887384,3598.1253375337533
1759620334,50,,Aggregated,45.000000,0.000000,28,48,51,54,82,150,310,430,1400,3700,3700,4493,0,28,50.75473329191014,2.1814169886056334,3652.9767499887384,3597.9078566659246
1759620335,50,,Aggregated,44.200000,0.000000,28,47,51,54,82,150,310,430,1400,3700,3700,4530,0,28,50.51702519636342,2.1814169886056334,3652.9767499887384,3590.1523178807947
1759620336,50,,Aggregated,43.700000,0.000000,28,47,51,54,83,150,310,430,1400,3700,3700,4576,0,28,50.54261307443492,2.1814169886056334,3652.9767499887384,3582.536494755245
1759620337,50,,Aggregated,45.300000,0.000000,28,47,51,54,82,150,300,430,1400,3700,3700,4625,0,28,50.2516211463151,2.1814169886056334,3652.9767499887384,3580.3176216216216
1759620338,50,,Aggregated,44.700000,0.000000,27,47,51,54,82,150,300,430,1400,3700,3700,4665,0,27,50.02820416349775,2.1814169886056334,3652.9767499887384,3579.1243301178993
1759620339,50,,Aggregated,45.500000,0.000000,28,47,51,54,82,150,300,400,1400,3700,3700,4719,0,28,49.79954560537112,2.1814169886056334,3652.9767499887384,3567.217207035389
1759620340,50,,Aggregated,44.200000,0.000000,27,47,51,54,81,140,290,400,1400,3700,3700,4757,0,27,49.581574311911176,2.1814169886056334,3652.9767499887384,3569.572629808703
1759620341,50,,Aggregated,45.600000,0.000000,27,47,51,54,81,140,290,400,1400,3700,3700,4806,0,27,49.361939571126605,2.1814169886056334,3652.9767499887384,3553.2409488139824
1759620342,50,,Aggregated,46.300000,0.000000,27,47,51,53,80,140,290,400,1400,3700,3700,4855,0,27,49.124995116539466,2.1814169886056334,3652.9767499887384,3551.74850669413
1759620343,50,,Aggregated,45.400000,0.000000,27,47,51,53,79,140,290,390,1400,3700,3700,4913,0,27,48.81273560691483,2.1814169886056334,3652.9767499887384,3560.2277630775493
1759620344,50,,Aggregated,45.600000,0.000000,27,47,51,53,79,140,290,390,1400,3700,3700,4951,0,27,48.66957553096025,2.1814169886056334,3652.9767499887384,3549.834376893557
1759620345,50,,Aggregated,45.600000,0.000000,27,47,50,53,78,140,290,390,1300,3700,3700,5002,0,27,48.42931409053571,2.1814169886056334,3652.9767499887384,3535.719712115154
1759620346,50,,Aggregated,47.200000,0.000000,27,47,50,53,78,140,280,390,1300,3700,3700,5059,0,27,48.28101322749466,2.1814169886056334,3652.9767499887384,3524.8436449891283
1759620347,50,,Aggregated,46.600000,0.000000,27,47,50,53,78,140,280,390,1300,3700,3700,5090,0,27,48.1320131231633,2.1814169886056334,3652.9767499887384,3531.622003929273
1759620348,50,,Aggregated,46.800000,0.000000,27,47,50,53,78,140,280,380,1300,3700,3700,5139,0,27,47.98683439637222,2.1814169886056334,3652.9767499887384,3539.3485113835377
1759620349,50,,Aggregated,47.900000,0.000000,27,47,50,53,77,140,280,380,1300,3700,3700,5183,0,27,47.79844516649501,2.1814169886056334,3652.9767499887384,3531.870924175188
1759620350,50,,Aggregated,47.000000,0.000000,27,47,50,53,77,140,280,380,1300,3700,3700,5227,0,27,47.59040551539359,2.1814169886056334,3652.9767499887384,3542.871054141955
1759620351,50,,Aggregated,47.600000,0.000000,27,47,50,53,76,130,280,380,1300,3700,3700,5276,0,26,47.42765895944386,2.1814169886056334,3652.9767499887384,3542.745072024261
1759620352,50,,Aggregated,45.700000,0.000000,27,47,50,53,77,140,280,370,1300,3700,3700,5314,0,27,47.52553690780433,2.1814169886056334,3652.9767499887384,3544.51712457659
1759620353,50,,Aggregated,46.700000,0.000000,26,47,50,53,76,140,280,370,1300,3700,3700,5371,0,26,47.270473003916926,2.1814169886056334,3652.9767499887384,3541.7166263265685
1759620354,50,,Aggregated,46.500000,0.000000,26,47,50,53,76,130,280,370,1300,3700,3700,5419,0,26,47.10996739085079,2.1814169886056334,3652.9767499887384,3544.040597896291
